statecode,countycode,state,county,year,laborforce,employed,unemployed,rate
51,49,VA,Cumberland,2015,4555,4320,235,5.2
51,51,VA,Dickenson,2015,4911,4415,496,10.1
51,53,VA,Dinwiddie,2015,13311,12589,722,5.4
51,57,VA,Essex,2015,5511,5214,297,5.4
51,59,VA,Fairfax,2015,613618,591702,21916,3.6
51,61,VA,Fauquier,2015,35726,34315,1411,3.9
51,63,VA,Floyd,2015,8292,7962,330,4
51,65,VA,Fluvanna,2015,13160,12664,496,3.8
51,67,VA,Franklin,2015,26444,25209,1235,4.7
51,69,VA,Frederick,2015,44612,42841,1771,4
51,71,VA,Giles,2015,7943,7531,412,5.2
51,73,VA,Gloucester,2015,19090,18312,778,4.1
51,75,VA,Goochland,2015,10616,10172,444,4.2
51,77,VA,Grayson,2015,7045,6628,417,5.9
51,79,VA,Greene,2015,9848,9481,367,3.7
51,81,VA,Greensville,2015,4172,3947,225,5.4
51,83,VA,Halifax,2015,15199,14232,967,6.4
51,85,VA,Hanover,2015,56233,54052,2181,3.9
51,87,VA,Henrico,2015,176916,169312,7604,4.3
51,89,VA,Henry,2015,22353,20920,1433,6.4
51,91,VA,Highland,2015,1339,1292,47,3.5
51,93,VA,Isle of Wight,2015,18801,17941,860,4.6
51,95,VA,James City,2015,34291,32805,1486,4.3
51,97,VA,King and Queen,2015,3631,3456,175,4.8
51,99,VA,King George,2015,12053,11479,574,4.8
51,101,VA,King William,2015,8704,8336,368,4.2
51,103,VA,Lancaster,2015,5130,4791,339,6.6
51,105,VA,Lee,2015,8572,7952,620,7.2
51,107,VA,Loudoun,2015,200054,192918,7136,3.6
51,109,VA,Louisa,2015,18790,17993,797,4.2
51,111,VA,Lunenburg,2015,5284,5014,270,5.1
51,113,VA,Madison,2015,7224,6978,246,3.4
51,115,VA,Mathews,2015,4072,3901,171,4.2
51,117,VA,Mecklenburg,2015,12514,11748,766,6.1
51,119,VA,Middlesex,2015,4980,4769,211,4.2
51,121,VA,Montgomery,2015,49724,47573,2151,4.3
51,125,VA,Nelson,2015,7266,6970,296,4.1
51,127,VA,New Kent,2015,11213,10785,428,3.8
51,131,VA,Northampton,2015,6098,5725,373,6.1
51,133,VA,Northumberland,2015,5464,5130,334,6.1
51,135,VA,Nottoway,2015,7129,6806,323,4.5
51,137,VA,Orange,2015,16053,15315,738,4.6
51,139,VA,Page,2015,11642,10840,802,6.9
51,141,VA,Patrick,2015,7638,7224,414,5.4
51,143,VA,Pittsylvania,2015,30069,28472,1597,5.3
51,145,VA,Powhatan,2015,13388,12855,533,4
51,147,VA,Prince Edward,2015,10057,9428,629,6.3
51,149,VA,Prince George,2015,14871,14067,804,5.4
51,153,VA,Prince William,2015,231347,221783,9564,4.1
51,155,VA,Pulaski,2015,16309,15483,826,5.1
51,157,VA,Rappahannock,2015,3734,3579,155,4.2
51,159,VA,Richmond,2015,3900,3722,178,4.6
51,161,VA,Roanoke,2015,49070,47142,1928,3.9
51,163,VA,Rockbridge,2015,10321,9835,486,4.7
51,165,VA,Rockingham,2015,40108,38457,1651,4.1
51,167,VA,Russell,2015,11423,10673,750,6.6
51,169,VA,Scott,2015,9500,9010,490,5.2
51,171,VA,Shenandoah,2015,21034,20135,899,4.3
51,173,VA,Smyth,2015,13460,12582,878,6.5
51,175,VA,Southampton,2015,9196,8827,369,4
51,177,VA,Spotsylvania,2015,63800,60840,2960,4.6
51,179,VA,Stafford,2015,66649,63674,2975,4.5
51,181,VA,Surry,2015,3716,3528,188,5.1
51,183,VA,Sussex,2015,4073,3794,279,6.8
51,185,VA,Tazewell,2015,16612,15382,1230,7.4
51,187,VA,Warren,2015,19619,18684,935,4.8
51,191,VA,Washington,2015,26978,25683,1295,4.8
51,193,VA,Westmoreland,2015,8920,8439,481,5.4
51,195,VA,Wise,2015,13783,12641,1142,8.3
51,197,VA,Wythe,2015,13642,12901,741,5.4
51,199,VA,York,2015,31991,30618,1373,4.3
51,510,VA,Alexandria,2015,94154,91055,3099,3.3
51,520,VA,Bristol,2015,7513,7110,403,5.4
51,530,VA,Buena Vista,2015,3293,3126,167,5.1
51,540,VA,Charlottesville,2015,24644,23734,910,3.7
51,550,VA,Chesapeake,2015,116309,111025,5284,4.5
51,570,VA,Colonial Heights,2015,8665,8256,409,4.7
51,580,VA,Covington,2015,2418,2272,146,6
51,590,VA,Danville,2015,19117,17735,1382,7.2
51,595,VA,Emporia,2015,2245,2089,156,6.9
51,600,VA,Fairfax,2015,12799,12351,448,3.5
51,610,VA,Falls Church,2015,7844,7605,239,3
51,620,VA,Franklin,2015,3608,3366,242,6.7
51,630,VA,Fredericksburg,2015,13367,12652,715,5.3
51,640,VA,Galax,2015,2946,2784,162,5.5
51,650,VA,Hampton,2015,64261,60397,3864,6
51,660,VA,Harrisonburg,2015,23883,22615,1268,5.3
51,670,VA,Hopewell,2015,9620,8891,729,7.6
51,678,VA,Lexington,2015,2252,2098,154,6.8
51,680,VA,Lynchburg,2015,35627,33633,1994,5.6
51,683,VA,Manassas,2015,21593,20696,897,4.2
51,685,VA,Manassas Park,2015,8333,7984,349,4.2
51,690,VA,Martinsville,2015,5357,4886,471,8.8
51,700,VA,Newport News,2015,88807,83972,4835,5.4
51,710,VA,Norfolk,2015,110521,104347,6174,5.6
51,720,VA,Norton,2015,1733,1612,121,7
51,730,VA,Petersburg,2015,13502,12262,1240,9.2
51,735,VA,Poquoson,2015,6200,5960,240,3.9
51,740,VA,Portsmouth,2015,44252,41493,2759,6.2
51,750,VA,Radford,2015,8291,7822,469,5.7
51,760,VA,Richmond,2015,112703,106819,5884,5.2
51,770,VA,Roanoke,2015,48902,46508,2394,4.9
